V-Mn-Co-Ni-Pt,7-7-7-7-4,4.19188203555395866700,275
V-Mn-Co-Zn-Pt,7-7-7-7-4,4.62222889956782646500,277
V-Mn-Co-Mo-Pt,7-7-7-7-4,4.80439252143286061000,280
V-Mn-Co-Tc-Pt,7-7-7-7-4,4.16225599885446738400,281
V-Mn-Co-Rh-Pt,7-7-7-7-4,4.04401564042474989000,283
V-Mn-Co-Pd-Pt,7-7-7-7-4,4.45350985179105672000,284
V-Mn-Co-W-Pt,7-7-7-7-4,4.99862481088548993300,289
V-Mn-Co-Re-Pt,7-7-7-7-4,4.45350985179105672000,290
V-Mn-Co-Os-Pt,7-7-7-7-4,4.04401564042474989000,291
V-Mn-Co-Ir-Pt,7-7-7-7-4,4.16225599885446738400,292
V-Mn-Ni-Zn-Pt,7-7-7-7-4,4.62222889956782646500,296
V-Mn-Ni-Mo-Pt,7-7-7-7-4,4.80439252143286061000,299
V-Mn-Ni-Tc-Pt,7-7-7-7-4,4.16225599885446738400,300
V-Mn-Ni-Rh-Pt,7-7-7-7-4,4.04401564042474989000,302
V-Mn-Ni-Pd-Pt,7-7-7-7-4,4.45350985179105672000,303
V-Mn-Ni-W-Pt,7-7-7-7-4,4.99862481088548993300,308
V-Mn-Ni-Re-Pt,7-7-7-7-4,4.45350985179105672000,309
V-Mn-Ni-Os-Pt,7-7-7-7-4,4.04401564042474989000,310
V-Mn-Ni-Ir-Pt,7-7-7-7-4,4.16225599885446738400,311
V-Mn-Cu-Zn-Pt,7-7-7-7-4,4.08158976380527493100,314
V-Mn-Cu-Mo-Pt,7-7-7-7-4,4.26772041024245167200,317
V-Mn-Cu-W-Pt,7-7-7-7-4,4.46678715633507659500,326
V-Mn-Zn-Ag-Pt,7-7-7-7-4,4.77545809320948810600,339
V-Mn-Zn-W-Pt,7-7-7-7-4,4.07381117628198374000,343
V-Mn-Zn-Au-Pt,7-7-7-7-4,4.58148447558212293400,347
V-Mn-Mo-Ag-Pt,7-7-7-7-4,4.83567472024328782800,384
V-Mn-Mo-W-Pt,7-7-7-7-4,4.17275388682342491200,388
V-Mn-Mo-Au-Pt,7-7-7-7-4,4.65083997789646596200,392
V-Mn-Tc-Ag-Pt,7-7-7-7-4,4.70614624719631933300,397
V-Mn-Tc-Au-Pt,7-7-7-7-4,4.48991926430754431600,405
V-Mn-Ru-Ag-Pt,7-7-7-7-4,4.75732987084141559600,409
V-Mn-Ru-Au-Pt,7-7-7-7-4,4.53083187726051031400,417
V-Mn-Rh-Ag-Pt,7-7-7-7-4,4.72192360166913331600,420
V-Mn-Rh-Au-Pt,7-7-7-7-4,4.50000000000000000000,428
V-Mn-Pd-Ag-Pt,7-7-7-7-4,4.73273176928505002700,430
V-Mn-Pd-Au-Pt,7-7-7-7-4,4.53124568965312230700,438
V-Mn-Ag-W-Pt,7-7-7-7-4,4.91331100175838655400,443
V-Mn-Ag-Re-Pt,7-7-7-7-4,4.73273176928505002700,444
V-Mn-Ag-Os-Pt,7-7-7-7-4,4.72192360166913331600,445
V-Mn-Ag-Ir-Pt,7-7-7-7-4,4.70614624719631933300,446
V-Mn-W-Au-Pt,7-7-7-7-4,4.73787927241714338700,473
V-Mn-Re-Au-Pt,7-7-7-7-4,4.53124568965312230700,477
V-Mn-Os-Au-Pt,7-7-7-7-4,4.50000000000000000000,480
V-Mn-Ir-Au-Pt,7-7-7-7-4,4.48991926430754431600,482
V-Fe-Co-Ni-Pt,7-7-7-7-4,4.09752211708490964600,485
V-Fe-Co-Zn-Pt,7-7-7-7-4,4.45424656928643769400,487
V-Fe-Co-Mo-Pt,7-7-7-7-4,4.63744946064105371300,490
V-Fe-Co-Pd-Pt,7-7-7-7-4,4.28478412525065257800,494
V-Fe-Co-W-Pt,7-7-7-7-4,4.83182807020282955700,499
V-Fe-Co-Re-Pt,7-7-7-7-4,4.28478412525065257800,500
V-Fe-Ni-Zn-Pt,7-7-7-7-4,4.45424656928643769400,506
V-Fe-Ni-Mo-Pt,7-7-7-7-4,4.63744946064105371300,509
V-Fe-Ni-Pd-Pt,7-7-7-7-4,4.28478412525065257800,513
V-Fe-Ni-W-Pt,7-7-7-7-4,4.83182807020282955700,518
V-Fe-Ni-Re-Pt,7-7-7-7-4,4.28478412525065257800,519
V-Fe-Cu-Mo-Pt,7-7-7-7-4,4.06286536818536481500,527
V-Fe-Cu-W-Pt,7-7-7-7-4,4.26442405255387330500,536
V-Fe-Cu-Au-Pt,7-7-7-7-4,4.93045383306648557400,540
V-Fe-Zn-Nb-Pt,7-7-7-7-4,4.93770569191805922400,543
V-Fe-Zn-Ag-Pt,7-7-7-7-4,4.51057784546503531400,549
V-Fe-Zn-Ta-Pt,7-7-7-7-4,4.93770569191805922400,552
V-Fe-Zn-Au-Pt,7-7-7-7-4,4.31081488816209782700,557
V-Fe-Nb-Mo-Pt,7-7-7-7-4,4.98011671549974820400,575
V-Fe-Nb-Tc-Pt,7-7-7-7-4,4.92030232810952379900,576
V-Fe-Nb-Rh-Pt,7-7-7-7-4,4.95138869409380947600,578
V-Fe-Nb-Pd-Pt,7-7-7-7-4,4.91331100175838655400,579
V-Fe-Nb-Re-Pt,7-7-7-7-4,4.91331100175838655400,585
V-Fe-Nb-Os-Pt,7-7-7-7-4,4.95138869409380947600,586
V-Fe-Nb-Ir-Pt,7-7-7-7-4,4.92030232810952379900,587
V-Fe-Mo-Ag-Pt,7-7-7-7-4,4.56936127921616633400,594
V-Fe-Mo-Ta-Pt,7-7-7-7-4,4.98011671549974820400,597
V-Fe-Mo-Au-Pt,7-7-7-7-4,4.37892680916226321800,602
V-Fe-Tc-Ag-Pt,7-7-7-7-4,4.45235190657701718900,607
V-Fe-Tc-Ta-Pt,7-7-7-7-4,4.92030232810952379900,610
V-Fe-Tc-Au-Pt,7-7-7-7-4,4.22899219672961799100,615
V-Fe-Ru-Ag-Pt,7-7-7-7-4,4.51639374944213649400,619
V-Fe-Ru-Au-Pt,7-7-7-7-4,4.28306986868064061000,627
V-Fe-Rh-Ag-Pt,7-7-7-7-4,4.47381269165350730100,630
V-Fe-Rh-Ta-Pt,7-7-7-7-4,4.95138869409380947600,633
V-Fe-Rh-Au-Pt,7-7-7-7-4,4.24551233657376150600,638
V-Fe-Pd-Ag-Pt,7-7-7-7-4,4.47098283378498334300,640
V-Fe-Pd-Ta-Pt,7-7-7-7-4,4.91331100175838655400,643
V-Fe-Pd-Au-Pt,7-7-7-7-4,4.26215174530424244900,648
V-Fe-Ag-W-Pt,7-7-7-7-4,4.64694119825073749500,653
V-Fe-Ag-Re-Pt,7-7-7-7-4,4.47098283378498334300,654
V-Fe-Ag-Os-Pt,7-7-7-7-4,4.47381269165350730100,655
V-Fe-Ag-Ir-Pt,7-7-7-7-4,4.45235190657701718900,656
V-Fe-Ag-Au-Pt,7-7-7-7-4,4.97848496030669957000,657
V-Fe-Ta-Re-Pt,7-7-7-7-4,4.91331100175838655400,675
V-Fe-Ta-Os-Pt,7-7-7-7-4,4.95138869409380947600,676
V-Fe-Ta-Ir-Pt,7-7-7-7-4,4.92030232810952379900,677
V-Fe-W-Au-Pt,7-7-7-7-4,4.46622743487162776100,683
V-Fe-Re-Au-Pt,7-7-7-7-4,4.26215174530424244900,687
V-Fe-Os-Au-Pt,7-7-7-7-4,4.24551233657376150600,690
V-Fe-Ir-Au-Pt,7-7-7-7-4,4.22899219672961799100,692
V-Co-Ni-Cu-Pt,7-7-7-7-4,4.02697932698939987900,695
V-Co-Ni-Zn-Pt,7-7-7-7-4,4.80598585099873135200,696
V-Co-Ni-Mo-Pt,7-7-7-7-4,4.98670106382967375800,699
V-Co-Ni-Tc-Pt,7-7-7-7-4,4.34619086097239866700,700
V-Co-Ni-Ru-Pt,7-7-7-7-4,4.12776422534039606200,701
V-Co-Ni-Rh-Pt,7-7-7-7-4,4.22766188335822333800,702
V-Co-Ni-Pd-Pt,7-7-7-7-4,4.63768530627079094300,703
V-Co-Ni-Re-Pt,7-7-7-7-4,4.63768530627079094300,709
V-Co-Ni-Os-Pt,7-7-7-7-4,4.22766188335822333800,710
V-Co-Ni-Ir-Pt,7-7-7-7-4,4.34619086097239866700,711
V-Co-Cu-Zn-Pt,7-7-7-7-4,4.30374110513167369300,714
V-Co-Cu-Mo-Pt,7-7-7-7-4,4.48650755042271159200,717
V-Co-Cu-Pd-Pt,7-7-7-7-4,4.13487454465065965100,721
V-Co-Cu-W-Pt,7-7-7-7-4,4.68177984317930097100,726
V-Co-Cu-Re-Pt,7-7-7-7-4,4.13487454465065965100,727
V-Co-Zn-Mo-Pt,7-7-7-7-4,4.23072836518725224500,734
V-Co-Zn-Pd-Pt,7-7-7-7-4,4.01473847217972593000,738
V-Co-Zn-W-Pt,7-7-7-7-4,4.36552545520009538200,743
V-Co-Zn-Re-Pt,7-7-7-7-4,4.01473847217972593000,744
V-Co-Zn-Au-Pt,7-7-7-7-4,4.85788662897766686800,747
V-Co-Mo-Tc-Pt,7-7-7-7-4,4.02864741569673729100,780
V-Co-Mo-Ru-Pt,7-7-7-7-4,4.00562105047394616800,781
V-Co-Mo-Rh-Pt,7-7-7-7-4,4.00550402571261935300,782
V-Co-Mo-Pd-Pt,7-7-7-7-4,4.14234987657971740200,783
V-Co-Mo-W-Pt,7-7-7-7-4,4.46353279365123517800,788
V-Co-Mo-Re-Pt,7-7-7-7-4,4.14234987657971740200,789
V-Co-Mo-Os-Pt,7-7-7-7-4,4.00550402571261935300,790
V-Co-Mo-Ir-Pt,7-7-7-7-4,4.02864741569673729100,791
V-Co-Mo-Au-Pt,7-7-7-7-4,4.92791791733588030100,792
V-Co-Tc-Ag-Pt,7-7-7-7-4,4.96711057859597081800,797
V-Co-Tc-W-Pt,7-7-7-7-4,4.19095007128455301500,801
V-Co-Tc-Au-Pt,7-7-7-7-4,4.75732987084141559600,805
V-Co-Ru-W-Pt,7-7-7-7-4,4.18288925265778462700,813
V-Co-Ru-Au-Pt,7-7-7-7-4,4.78666768221901947400,817
V-Co-Rh-Ag-Pt,7-7-7-7-4,4.97754331975122040700,820
V-Co-Rh-W-Pt,7-7-7-7-4,4.17556133950873723700,824
V-Co-Rh-Au-Pt,7-7-7-7-4,4.76245078714730657500,828
